date,count,total_count,ratio
2022-08-01 00:00:00,4,1497,0.0026720106880427524
2022-08-02 00:00:00,11,1440,0.007638888888888889
2022-08-03 00:00:00,12,2274,0.005277044854881266
2022-08-04 00:00:00,34,2649,0.012835032087580219
2022-08-05 00:00:00,20,2455,0.008146639511201629
2022-08-06 00:00:00,10,2000,0.005
2022-08-07 00:00:00,4,1659,0.0024110910186859553
2022-08-08 00:00:00,10,2660,0.0037593984962406013
2022-08-09 00:00:00,18,2652,0.006787330316742082
2022-08-10 00:00:00,15,2522,0.005947660586835844
2022-08-11 00:00:00,14,2542,0.0055074744295830055
2022-08-12 00:00:00,24,2782,0.008626887131560028
2022-08-13 00:00:00,5,2106,0.0023741690408357074
2022-08-14 00:00:00,7,1566,0.004469987228607918
2022-08-15 00:00:00,11,1395,0.007885304659498209
2022-08-16 00:00:00,3,1899,0.001579778830963665
2022-08-17 00:00:00,10,3187,0.0031377470975839346
2022-08-18 00:00:00,8,3183,0.0025133521834747093
2022-08-19 00:00:00,10,2970,0.003367003367003367
2022-08-20 00:00:00,14,2549,0.005492349941153394
2022-08-21 00:00:00,5,1535,0.003257328990228013
2022-08-22 00:00:00,1,2502,0.0003996802557953637
2022-08-23 00:00:00,4,1626,0.0024600246002460025
2022-08-24 00:00:00,17,1601,0.010618363522798251
2022-08-25 00:00:00,22,1659,0.013261000602772756
2022-08-26 00:00:00,11,1579,0.006966434452184927
2022-08-27 00:00:00,5,1103,0.004533091568449683
2022-08-28 00:00:00,2,832,0.002403846153846154
2022-08-29 00:00:00,0,1465,0
2022-08-30 00:00:00,8,1536,0.005208333333333333
2022-08-31 00:00:00,17,1637,0.010384850335980453
2022-09-01 00:00:00,36,2152,0.016728624535315983
2022-09-02 00:00:00,8,1651,0.004845548152634767
2022-09-03 00:00:00,7,1272,0.00550314465408805
2022-09-04 00:00:00,1,864,0.0011574074074074073
2022-09-05 00:00:00,15,1463,0.010252904989747095
2022-09-06 00:00:00,33,1535,0.021498371335504887
2022-09-07 00:00:00,39,1689,0.023090586145648313
2022-09-08 00:00:00,26,1753,0.014831717056474614
2022-09-09 00:00:00,6,1501,0.003997335109926716
2022-09-10 00:00:00,15,1131,0.013262599469496022
2022-09-11 00:00:00,9,1048,0.008587786259541985
2022-09-12 00:00:00,9,1586,0.005674653215636823
2022-09-13 00:00:00,31,1529,0.020274689339437543
2022-09-14 00:00:00,50,1585,0.031545741324921134
2022-09-15 00:00:00,16,1645,0.009726443768996961
2022-09-16 00:00:00,16,1556,0.010282776349614395
2022-09-17 00:00:00,6,1116,0.005376344086021506
2022-09-18 00:00:00,8,904,0.008849557522123894
2022-09-19 00:00:00,4,1469,0.002722940776038121
2022-09-20 00:00:00,5,1564,0.00319693094629156
2022-09-21 00:00:00,9,1536,0.005859375
2022-09-22 00:00:00,3,1581,0.0018975332068311196
2022-09-23 00:00:00,4,1482,0.002699055330634278
2022-09-24 00:00:00,5,1222,0.004091653027823241
2022-09-25 00:00:00,1,1209,0.0008271298593879239
2022-09-26 00:00:00,1,1413,0.0007077140835102619
2022-09-27 00:00:00,2,1525,0.0013114754098360656
2022-09-28 00:00:00,3,1389,0.0021598272138228943
2022-09-29 00:00:00,4,1529,0.002616088947024199
2022-09-30 00:00:00,1,1411,0.0007087172218284905
2022-10-01 00:00:00,5,1393,0.003589375448671931
2022-10-02 00:00:00,3,916,0.0032751091703056767
2022-10-03 00:00:00,8,1351,0.005921539600296077
2022-10-04 00:00:00,44,1391,0.03163191948238677
2022-10-05 00:00:00,40,1373,0.029133284777858703
2022-10-06 00:00:00,12,1565,0.0076677316293929714
2022-10-07 00:00:00,6,1412,0.00424929178470255
2022-10-08 00:00:00,9,1085,0.008294930875576038
2022-10-09 00:00:00,13,982,0.013238289205702648
2022-10-10 00:00:00,5,1486,0.0033647375504710633
2022-10-11 00:00:00,31,1396,0.022206303724928367
2022-10-12 00:00:00,22,1400,0.015714285714285715
2022-10-13 00:00:00,17,1439,0.0118137595552467
2022-10-14 00:00:00,6,1486,0.004037685060565276
2022-10-15 00:00:00,12,1155,0.01038961038961039
2022-10-16 00:00:00,6,911,0.006586169045005488
2022-10-17 00:00:00,7,1442,0.0048543689320388345
2022-10-18 00:00:00,8,1410,0.005673758865248227
2022-10-19 00:00:00,11,1474,0.007462686567164179
2022-10-20 00:00:00,5,1537,0.0032530904359141183
2022-10-21 00:00:00,6,1356,0.004424778761061947
2022-10-22 00:00:00,14,1256,0.011146496815286623
2022-10-23 00:00:00,8,879,0.009101251422070534
2022-10-24 00:00:00,7,1498,0.004672897196261682
2022-10-25 00:00:00,45,1564,0.02877237851662404
2022-10-26 00:00:00,42,1523,0.02757715036112935
2022-10-27 00:00:00,22,1565,0.014057507987220448
2022-10-28 00:00:00,3,1430,0.002097902097902098
2022-10-29 00:00:00,8,1027,0.007789678675754625
2022-10-30 00:00:00,5,1083,0.0046168051708217915
2022-10-31 00:00:00,12,1541,0.007787151200519144
2022-11-01 00:00:00,19,1649,0.011522134627046696
2022-11-02 00:00:00,25,1591,0.01571338780641106
2022-11-03 00:00:00,26,1519,0.017116524028966424
2022-11-04 00:00:00,8,1493,0.0053583389149363695
2022-11-05 00:00:00,11,1175,0.009361702127659575
2022-11-06 00:00:00,9,899,0.010011123470522803
2022-11-07 00:00:00,20,1475,0.013559322033898305
2022-11-08 00:00:00,1,378,0.0026455026455026454
2022-11-09 00:00:00,4,1422,0.0028129395218002813
2022-11-10 00:00:00,0,297,0
2022-11-11 00:00:00,9,1401,0.006423982869379015
2022-11-12 00:00:00,5,1140,0.0043859649122807015
2022-11-13 00:00:00,2,932,0.002145922746781116
2022-11-14 00:00:00,9,1322,0.00680786686838124
2022-11-15 00:00:00,10,1532,0.006527415143603133
2022-11-16 00:00:00,6,1519,0.003949967083607637
2022-11-17 00:00:00,4,1595,0.0025078369905956114
2022-11-18 00:00:00,4,1544,0.0025906735751295338
2022-11-19 00:00:00,5,877,0.005701254275940707
2022-11-20 00:00:00,0,1109,0
2022-11-21 00:00:00,3,1411,0.002126151665485471
2022-11-22 00:00:00,16,1469,0.010891763104152484
2022-11-23 00:00:00,11,1513,0.007270323859881031
2022-11-24 00:00:00,3,1586,0.0018915510718789407
2022-11-25 00:00:00,0,297,0
2022-11-26 00:00:00,12,1172,0.010238907849829351
2022-11-27 00:00:00,11,1111,0.009900990099009901
2022-11-28 00:00:00,17,1491,0.011401743796109993
2022-11-29 00:00:00,18,1543,0.011665586519766688
2022-11-30 00:00:00,0,569,0
2022-12-01 00:00:00,0,353,0
2022-12-02 00:00:00,3,1447,0.002073255010366275
2022-12-03 00:00:00,5,1102,0.004537205081669692
2022-12-04 00:00:00,1,890,0.0011235955056179776
2022-12-05 00:00:00,4,1562,0.002560819462227913
2022-12-06 00:00:00,4,1500,0.0026666666666666666
2022-12-07 00:00:00,1,1510,0.0006622516556291391
2022-12-08 00:00:00,2,1484,0.0013477088948787063
2022-12-09 00:00:00,1,1361,0.0007347538574577516
2022-12-10 00:00:00,4,357,0.011204481792717087
2022-12-11 00:00:00,2,935,0.0021390374331550803
2022-12-12 00:00:00,2,1496,0.001336898395721925
2022-12-13 00:00:00,2,1623,0.0012322858903265558
2022-12-14 00:00:00,18,1530,0.011764705882352941
2022-12-15 00:00:00,10,1657,0.006035003017501509
2022-12-16 00:00:00,4,1489,0.002686366689053056
2022-12-17 00:00:00,11,1139,0.009657594381035996
2022-12-18 00:00:00,11,956,0.011506276150627616
2022-12-19 00:00:00,4,1405,0.0028469750889679717
2022-12-20 00:00:00,0,1177,0
2022-12-21 00:00:00,3,1388,0.002161383285302594
2022-12-22 00:00:00,11,1465,0.007508532423208191
2022-12-23 00:00:00,2,1232,0.0016233766233766235
2022-12-24 00:00:00,1,778,0.0012853470437017994
2022-12-25 00:00:00,0,92,0
2022-12-26 00:00:00,0,751,0
2022-12-27 00:00:00,2,998,0.002004008016032064
2022-12-28 00:00:00,1,1102,0.0009074410163339383
2022-12-29 00:00:00,3,1071,0.0028011204481792717
2022-12-30 00:00:00,6,977,0.006141248720573183
2022-12-31 00:00:00,6,994,0.006036217303822937
2023-01-01 00:00:00,1,735,0.0013605442176870747
2023-01-02 00:00:00,9,715,0.012587412587412588
2023-01-03 00:00:00,18,1246,0.014446227929373997
2023-01-04 00:00:00,4,1266,0.00315955766192733
2023-01-05 00:00:00,1,690,0.0014492753623188406
2023-01-06 00:00:00,8,1245,0.00642570281124498
2023-01-07 00:00:00,1,1057,0.000946073793755913
2023-01-08 00:00:00,3,756,0.003968253968253968
2023-01-09 00:00:00,7,1393,0.005025125628140704
2023-01-10 00:00:00,13,1525,0.008524590163934427
2023-01-11 00:00:00,2,1440,0.001388888888888889
2023-01-12 00:00:00,16,1454,0.011004126547455296
2023-01-13 00:00:00,1,1515,0.0006600660066006601
2023-01-14 00:00:00,1,1301,0.0007686395080707148
2023-01-15 00:00:00,5,926,0.005399568034557235
2023-01-16 00:00:00,4,1449,0.0027605244996549345
2023-01-17 00:00:00,3,1376,0.002180232558139535
2023-01-18 00:00:00,27,1464,0.018442622950819672
2023-01-19 00:00:00,17,1532,0.011096605744125326
2023-01-20 00:00:00,15,1552,0.009664948453608248
2023-01-21 00:00:00,13,1312,0.009908536585365854
2023-01-22 00:00:00,4,909,0.0044004400440044
2023-01-23 00:00:00,3,1376,0.002180232558139535
2023-01-24 00:00:00,1,1393,0.0007178750897343862
2023-01-25 00:00:00,3,1219,0.002461033634126333
2023-01-26 00:00:00,2,1379,0.0014503263234227702
2023-01-27 00:00:00,8,1495,0.005351170568561873
2023-01-28 00:00:00,1,1053,0.000949667616334283
2023-01-29 00:00:00,4,837,0.0047789725209080045
2023-01-30 00:00:00,13,1249,0.010408326661329063
2023-01-31 00:00:00,7,1498,0.004672897196261682
2023-02-01 00:00:00,16,1720,0.009302325581395349
2023-02-02 00:00:00,5,1473,0.0033944331296673455
2023-02-03 00:00:00,3,1376,0.002180232558139535
2023-02-04 00:00:00,4,1143,0.003499562554680665
2023-02-05 00:00:00,14,895,0.01564245810055866
2023-02-06 00:00:00,11,1429,0.007697690692792162
2023-02-07 00:00:00,12,1234,0.009724473257698542
2023-02-08 00:00:00,9,1478,0.006089309878213802
2023-02-09 00:00:00,6,1368,0.0043859649122807015
2023-02-10 00:00:00,12,1392,0.008620689655172414
2023-02-11 00:00:00,11,1153,0.009540329575021683
2023-02-12 00:00:00,2,770,0.0025974025974025974
2023-02-13 00:00:00,11,1155,0.009523809523809525
2023-02-14 00:00:00,33,1415,0.023321554770318022
2023-02-15 00:00:00,25,1459,0.017135023989033583
2023-02-16 00:00:00,14,1470,0.009523809523809525
2023-02-17 00:00:00,4,705,0.005673758865248227
2023-02-18 00:00:00,4,1140,0.0035087719298245615
2023-02-19 00:00:00,5,855,0.005847953216374269
2023-02-20 00:00:00,6,1188,0.005050505050505051
2023-02-21 00:00:00,31,1284,0.024143302180685357
2023-02-22 00:00:00,20,1316,0.015197568389057751
2023-02-23 00:00:00,13,1429,0.009097270818754374
2023-02-24 00:00:00,14,1337,0.010471204188481676
2023-02-25 00:00:00,7,799,0.008760951188986232
2023-02-26 00:00:00,15,938,0.015991471215351813
2023-02-27 00:00:00,2,1401,0.0014275517487508922
2023-02-28 00:00:00,13,1361,0.009551800146950772
2023-03-01 00:00:00,1,1628,0.0006142506142506142
2023-03-02 00:00:00,5,1440,0.003472222222222222
2023-03-03 00:00:00,2,1477,0.0013540961408259986
2023-03-04 00:00:00,17,1175,0.01446808510638298
2023-03-05 00:00:00,8,923,0.00866738894907909
2023-03-06 00:00:00,22,1333,0.016504126031507877
2023-03-07 00:00:00,14,1372,0.01020408163265306
2023-03-08 00:00:00,37,1473,0.025118805159538356
2023-03-09 00:00:00,17,1455,0.01168384879725086
2023-03-10 00:00:00,1,1359,0.0007358351729212656
2023-03-11 00:00:00,12,1113,0.01078167115902965
2023-03-12 00:00:00,3,1121,0.0026761819803746653
2023-03-13 00:00:00,8,1396,0.0057306590257879654
2023-03-14 00:00:00,19,1439,0.01320361362056984
2023-03-15 00:00:00,33,1466,0.022510231923601638
2023-03-16 00:00:00,9,1581,0.0056925996204933585
2023-03-17 00:00:00,25,1404,0.017806267806267807
2023-03-18 00:00:00,8,1165,0.0068669527896995704
2023-03-19 00:00:00,13,908,0.014317180616740088
2023-03-20 00:00:00,3,1177,0.002548853016142736
