date,count,total_count,ratio
2022-08-01 00:00:00,152,9843,0.01544244640861526
2022-08-02 00:00:00,203,10467,0.01939428680615267
2022-08-03 00:00:00,348,16001,0.02174864070995563
2022-08-04 00:00:00,447,18375,0.0243265306122449
2022-08-05 00:00:00,460,18251,0.025204098405566817
2022-08-06 00:00:00,308,10787,0.02855288773523686
2022-08-07 00:00:00,267,9816,0.027200488997555013
2022-08-08 00:00:00,277,19018,0.014565148806393943
2022-08-09 00:00:00,472,19558,0.024133346967992637
2022-08-10 00:00:00,360,18090,0.01990049751243781
2022-08-11 00:00:00,394,18810,0.020946305156831473
2022-08-12 00:00:00,479,18665,0.025663005625502278
2022-08-13 00:00:00,244,10379,0.023509008575007227
2022-08-14 00:00:00,159,7866,0.02021357742181541
2022-08-15 00:00:00,139,9516,0.01460697772173182
2022-08-16 00:00:00,312,12724,0.02452059100911663
2022-08-17 00:00:00,441,19873,0.022190912293060937
2022-08-18 00:00:00,384,19537,0.019655013564006757
2022-08-19 00:00:00,398,18259,0.02179746974094967
2022-08-20 00:00:00,280,10724,0.02610966057441253
2022-08-21 00:00:00,224,9529,0.02350718858222269
2022-08-22 00:00:00,282,15416,0.018292682926829267
2022-08-23 00:00:00,188,9414,0.01997025706394731
2022-08-24 00:00:00,203,9993,0.020314219953967778
2022-08-25 00:00:00,286,10459,0.027344870446505402
2022-08-26 00:00:00,351,9567,0.036688617121354655
2022-08-27 00:00:00,177,5211,0.033966609096142776
2022-08-28 00:00:00,107,4376,0.024451553930530164
2022-08-29 00:00:00,133,6836,0.019455822118197776
2022-08-30 00:00:00,179,9555,0.018733647305075877
2022-08-31 00:00:00,193,10124,0.01906361122086132
2022-09-01 00:00:00,175,10419,0.01679623764276802
2022-09-02 00:00:00,224,10055,0.02227747389358528
2022-09-03 00:00:00,163,5318,0.03065062053403535
2022-09-04 00:00:00,120,4729,0.025375343624444914
2022-09-05 00:00:00,299,9905,0.030186774356385664
2022-09-06 00:00:00,540,10632,0.050790067720090294
2022-09-07 00:00:00,693,10361,0.0668854357687482
2022-09-08 00:00:00,366,12427,0.029451999678120223
2022-09-09 00:00:00,252,10308,0.024447031431897557
2022-09-10 00:00:00,198,5699,0.03474293735743113
2022-09-11 00:00:00,208,5125,0.04058536585365854
2022-09-12 00:00:00,407,9567,0.04254207170481865
2022-09-13 00:00:00,513,9795,0.05237366003062787
2022-09-14 00:00:00,584,9718,0.060094669685120394
2022-09-15 00:00:00,376,9857,0.03814548036928071
2022-09-16 00:00:00,238,8901,0.02673856870014605
2022-09-17 00:00:00,185,5439,0.034013605442176874
2022-09-18 00:00:00,161,5234,0.030760412686282
2022-09-19 00:00:00,136,8340,0.01630695443645084
2022-09-20 00:00:00,181,10059,0.017993836365443883
2022-09-21 00:00:00,182,10877,0.01673255493242622
2022-09-22 00:00:00,180,10651,0.016899821612994085
2022-09-23 00:00:00,151,10133,0.014901805980459884
2022-09-24 00:00:00,93,5625,0.016533333333333334
2022-09-25 00:00:00,84,5623,0.014938644851502756
2022-09-26 00:00:00,95,9873,0.009622201964954927
2022-09-27 00:00:00,122,10034,0.012158660554116005
2022-09-28 00:00:00,158,10044,0.01573078454798885
2022-09-29 00:00:00,156,10152,0.015366430260047281
2022-09-30 00:00:00,184,10357,0.017765762286376365
2022-10-01 00:00:00,159,5422,0.02932497233493176
2022-10-02 00:00:00,161,5479,0.02938492425625114
2022-10-03 00:00:00,241,9508,0.025347076146403028
2022-10-04 00:00:00,394,10020,0.03932135728542914
2022-10-05 00:00:00,434,10796,0.04020007410151908
2022-10-06 00:00:00,314,10433,0.030096808204734975
2022-10-07 00:00:00,228,9909,0.02300938540720557
2022-10-08 00:00:00,198,5948,0.03328850033624748
2022-10-09 00:00:00,180,5483,0.032828743388655844
2022-10-10 00:00:00,279,10249,0.027222168016391844
2022-10-11 00:00:00,457,10670,0.04283036551077788
2022-10-12 00:00:00,428,10862,0.03940342478364942
2022-10-13 00:00:00,332,10435,0.031816003833253476
2022-10-14 00:00:00,294,10542,0.027888446215139442
2022-10-15 00:00:00,234,6109,0.03830414143067605
2022-10-16 00:00:00,220,5650,0.03893805309734513
2022-10-17 00:00:00,182,10485,0.017358130662851693
2022-10-18 00:00:00,192,10594,0.01812346611289409
2022-10-19 00:00:00,180,11132,0.016169601149838304
2022-10-20 00:00:00,143,11142,0.012834320588763238
2022-10-21 00:00:00,171,9716,0.017599835323178263
2022-10-22 00:00:00,132,5630,0.02344582593250444
2022-10-23 00:00:00,166,5306,0.03128533735393894
2022-10-24 00:00:00,287,9767,0.029384662639500358
2022-10-25 00:00:00,406,10296,0.03943278943278943
2022-10-26 00:00:00,436,10516,0.04146063141879042
2022-10-27 00:00:00,350,9977,0.035080685576826705
2022-10-28 00:00:00,274,9759,0.028076647197458757
2022-10-29 00:00:00,262,5857,0.04473279836093563
2022-10-30 00:00:00,208,5311,0.039163999246846166
2022-10-31 00:00:00,324,9985,0.03244867300951427
2022-11-01 00:00:00,442,10810,0.040888066604995374
2022-11-02 00:00:00,576,10608,0.05429864253393665
2022-11-03 00:00:00,477,10314,0.0462478184991274
2022-11-04 00:00:00,365,10445,0.034944949736716135
2022-11-05 00:00:00,207,6076,0.034068466096115864
2022-11-06 00:00:00,182,6054,0.03006276841757516
2022-11-07 00:00:00,350,9981,0.03506662659052199
2022-11-08 00:00:00,59,2318,0.02545297670405522
2022-11-09 00:00:00,202,10097,0.02000594235911657
2022-11-10 00:00:00,17,2159,0.007874015748031496
2022-11-11 00:00:00,143,9524,0.01501469970600588
2022-11-12 00:00:00,127,6061,0.02095363801352912
2022-11-13 00:00:00,111,5597,0.01983205288547436
2022-11-14 00:00:00,149,10319,0.014439383661207481
2022-11-15 00:00:00,147,10714,0.013720365876423371
2022-11-16 00:00:00,144,11012,0.013076643661460226
2022-11-17 00:00:00,113,11612,0.009731312435411643
2022-11-18 00:00:00,105,10531,0.009970563099420758
