date,count,total_count,ratio
2022-08-01 00:00:00,0,1497,0
2022-08-02 00:00:00,2,1440,0.001388888888888889
2022-08-03 00:00:00,1,2274,0.00043975373790677223
2022-08-04 00:00:00,0,2649,0
2022-08-05 00:00:00,0,2455,0
2022-08-06 00:00:00,0,2000,0
2022-08-07 00:00:00,0,1659,0
2022-08-08 00:00:00,0,2660,0
2022-08-09 00:00:00,0,2652,0
2022-08-10 00:00:00,0,2522,0
2022-08-11 00:00:00,0,2542,0
2022-08-12 00:00:00,0,2782,0
2022-08-13 00:00:00,0,2106,0
2022-08-14 00:00:00,0,1566,0
2022-08-15 00:00:00,0,1395,0
2022-08-16 00:00:00,1,1899,0.000526592943654555
2022-08-17 00:00:00,0,3187,0
2022-08-18 00:00:00,6,3183,0.001885014137606032
2022-08-19 00:00:00,0,2970,0
2022-08-20 00:00:00,6,2549,0.0023538642604943117
2022-08-21 00:00:00,2,1535,0.0013029315960912053
2022-08-22 00:00:00,6,2502,0.002398081534772182
2022-08-23 00:00:00,0,1626,0
2022-08-24 00:00:00,0,1601,0
2022-08-25 00:00:00,1,1659,0.0006027727546714888
2022-08-26 00:00:00,0,1579,0
2022-08-27 00:00:00,0,1103,0
2022-08-28 00:00:00,0,832,0
2022-08-29 00:00:00,0,1465,0
2022-08-30 00:00:00,0,1536,0
2022-08-31 00:00:00,1,1637,0.0006108735491753207
2022-09-01 00:00:00,2,2152,0.0009293680297397769
2022-09-02 00:00:00,0,1651,0
2022-09-03 00:00:00,7,1272,0.00550314465408805
2022-09-04 00:00:00,0,864,0
2022-09-05 00:00:00,2,1463,0.001367053998632946
2022-09-06 00:00:00,0,1535,0
2022-09-07 00:00:00,0,1689,0
2022-09-08 00:00:00,5,1753,0.002852253280091272
2022-09-09 00:00:00,0,1501,0
2022-09-10 00:00:00,0,1131,0
2022-09-11 00:00:00,0,1048,0
2022-09-12 00:00:00,4,1586,0.0025220680958385876
2022-09-13 00:00:00,0,1529,0
2022-09-14 00:00:00,0,1585,0
2022-09-15 00:00:00,0,1645,0
2022-09-16 00:00:00,0,1556,0
2022-09-17 00:00:00,1,1116,0.0008960573476702509
2022-09-18 00:00:00,0,904,0
2022-09-19 00:00:00,1,1469,0.0006807351940095302
