date,count,total_count,ratio
2022-08-01 00:00:00,54,9843,0.005486132276744895
2022-08-02 00:00:00,15,10467,0.0014330753797649756
2022-08-03 00:00:00,19,16001,0.001187425785888382
2022-08-04 00:00:00,16,18375,0.0008707482993197279
2022-08-05 00:00:00,13,18251,0.0007122897375486275
2022-08-06 00:00:00,28,10787,0.0025957170668397143
2022-08-07 00:00:00,5,9816,0.0005093724531377343
2022-08-08 00:00:00,66,19018,0.003470396466505416
2022-08-09 00:00:00,59,19558,0.0030166683709990797
2022-08-10 00:00:00,35,18090,0.0019347705914870095
2022-08-11 00:00:00,25,18810,0.0013290802764486975
2022-08-12 00:00:00,27,18665,0.0014465577283686044
2022-08-13 00:00:00,6,10379,0.0005780903747952597
2022-08-14 00:00:00,9,7866,0.0011441647597254005
2022-08-15 00:00:00,12,9516,0.0012610340479192938
2022-08-16 00:00:00,8,12724,0.0006287331027978623
2022-08-17 00:00:00,44,19873,0.002214059276405173
2022-08-18 00:00:00,25,19537,0.00127962327890669
2022-08-19 00:00:00,18,18259,0.0009858152144148092
2022-08-20 00:00:00,4,10724,0.0003729951510630362
2022-08-21 00:00:00,23,9529,0.002413684541924651
2022-08-22 00:00:00,40,15416,0.002594706798131811
2022-08-23 00:00:00,5,9414,0.0005311238580837051
2022-08-24 00:00:00,12,9993,0.0012008405884118883
2022-08-25 00:00:00,59,10459,0.005641074672530835
2022-08-26 00:00:00,43,9567,0.004494616912302707
2022-08-27 00:00:00,4,5211,0.0007676069852235655
2022-08-28 00:00:00,3,4376,0.0006855575868372943
2022-08-29 00:00:00,2,6836,0.0002925687536571094
2022-08-30 00:00:00,1,9555,0.00010465724751439037
2022-08-31 00:00:00,19,10124,0.001876728565784275
2022-09-01 00:00:00,5,10419,0.0004798925040790863
2022-09-02 00:00:00,4,10055,0.00039781203381402286
2022-09-03 00:00:00,6,5318,0.0011282437006393381
2022-09-04 00:00:00,1,4729,0.00021146119687037428
2022-09-05 00:00:00,16,9905,0.0016153457849570924
2022-09-06 00:00:00,9,10632,0.0008465011286681715
2022-09-07 00:00:00,79,10361,0.007624746646076633
2022-09-08 00:00:00,72,12427,0.005793836002253159
2022-09-09 00:00:00,48,10308,0.004656577415599534
2022-09-10 00:00:00,9,5699,0.0015792244253377786
2022-09-11 00:00:00,20,5125,0.003902439024390244
2022-09-12 00:00:00,60,9567,0.006271558482282847
2022-09-13 00:00:00,73,9795,0.007452782031648801
2022-09-14 00:00:00,39,9718,0.004013171434451533
2022-09-15 00:00:00,21,9857,0.002130465658922593
2022-09-16 00:00:00,25,8901,0.002808673182788451
2022-09-17 00:00:00,9,5439,0.001654715940430226
2022-09-18 00:00:00,15,5234,0.002865876958349255
2022-09-19 00:00:00,7,8340,0.0008393285371702638
2022-09-20 00:00:00,32,10059,0.0031812307386420123
2022-09-21 00:00:00,6,10877,0.0005516226900799853
2022-09-22 00:00:00,4,10651,0.00037555159139986854
2022-09-23 00:00:00,15,10133,0.0014803118523635645
2022-09-24 00:00:00,14,5625,0.002488888888888889
2022-09-25 00:00:00,13,5623,0.0023119331317801887
2022-09-26 00:00:00,12,9873,0.001215436037678517
2022-09-27 00:00:00,12,10034,0.001195933824995017
2022-09-28 00:00:00,25,10044,0.002489048187972919
2022-09-29 00:00:00,16,10152,0.0015760441292356187
2022-09-30 00:00:00,3,10357,0.0002896591677126581
2022-10-01 00:00:00,4,5422,0.0007377351530800443
2022-10-02 00:00:00,9,5479,0.001642635517430188
2022-10-03 00:00:00,23,9508,0.0024190155658392934
2022-10-04 00:00:00,13,10020,0.0012974051896207585
2022-10-05 00:00:00,28,10796,0.002593553167839941
2022-10-06 00:00:00,41,10433,0.003929838013994057
2022-10-07 00:00:00,10,9909,0.0010091835704914725
2022-10-08 00:00:00,3,5948,0.0005043712172158709
2022-10-09 00:00:00,7,5483,0.001276673354003283
2022-10-10 00:00:00,15,10249,0.0014635574202361205
2022-10-11 00:00:00,11,10670,0.0010309278350515464
2022-10-12 00:00:00,5,10862,0.00046032038298655866
2022-10-13 00:00:00,17,10435,0.0016291327264015333
2022-10-14 00:00:00,10,10542,0.0009485866059571238
2022-10-15 00:00:00,3,6109,0.0004910787362907187
2022-10-16 00:00:00,12,5650,0.0021238938053097347
2022-10-17 00:00:00,48,10485,0.004577968526466381
2022-10-18 00:00:00,34,10594,0.003209363790824995
2022-10-19 00:00:00,20,11132,0.0017966223499820337
2022-10-20 00:00:00,21,11142,0.001884760366182014
2022-10-21 00:00:00,14,9716,0.001440922190201729
2022-10-22 00:00:00,3,5630,0.0005328596802841918
2022-10-23 00:00:00,9,5306,0.0016961929890689784
2022-10-24 00:00:00,11,9767,0.0011262414252073308
2022-10-25 00:00:00,13,10296,0.0012626262626262627
2022-10-26 00:00:00,22,10516,0.0020920502092050207
2022-10-27 00:00:00,40,9977,0.004009221208780195
2022-10-28 00:00:00,62,9759,0.006353109949789938
2022-10-29 00:00:00,22,5857,0.00375618917534574
2022-10-30 00:00:00,34,5311,0.006401807569196009
2022-10-31 00:00:00,64,9985,0.006409614421632449
2022-11-01 00:00:00,60,10810,0.005550416281221091
2022-11-02 00:00:00,55,10608,0.005184766214177979
2022-11-03 00:00:00,14,10314,0.001357378320729106
2022-11-04 00:00:00,28,10445,0.0026807084729535665
2022-11-05 00:00:00,6,6076,0.0009874917709019092
2022-11-06 00:00:00,5,6054,0.0008259002312520648
2022-11-07 00:00:00,5,9981,0.0005009518084360284
2022-11-08 00:00:00,1,2318,0.0004314063848144953
2022-11-09 00:00:00,17,10097,0.0016836684163612954
2022-11-10 00:00:00,0,2159,0
2022-11-11 00:00:00,12,9524,0.00125997480050399
2022-11-12 00:00:00,4,6061,0.0006599571027883187
2022-11-13 00:00:00,5,5597,0.0008933357155619082
2022-11-14 00:00:00,13,10319,0.0012598119972865587
2022-11-15 00:00:00,18,10714,0.0016800448011946986
2022-11-16 00:00:00,17,11012,0.001543770432255721
2022-11-17 00:00:00,16,11612,0.0013778849466069584
2022-11-18 00:00:00,12,10531,0.0011394929256480866
2022-11-19 00:00:00,17,5476,0.00310445580715851
2022-11-20 00:00:00,15,5619,0.0026695141484249867
2022-11-21 00:00:00,15,9965,0.0015052684395383843
2022-11-22 00:00:00,22,10362,0.0021231422505307855
2022-11-23 00:00:00,38,10906,0.003484320557491289
2022-11-24 00:00:00,19,10298,0.0018450184501845018
2022-11-25 00:00:00,0,1954,0
2022-11-26 00:00:00,10,5427,0.0018426386585590566
2022-11-27 00:00:00,4,5366,0.0007454342154304882
2022-11-28 00:00:00,13,9748,0.001333606893721789
2022-11-29 00:00:00,12,10394,0.0011545122185876468
2022-11-30 00:00:00,3,4430,0.0006772009029345372
2022-12-01 00:00:00,4,1214,0.0032948929159802307
2022-12-02 00:00:00,13,8838,0.0014709210228558498
2022-12-03 00:00:00,14,5352,0.002615844544095665
2022-12-04 00:00:00,10,4927,0.0020296326364927946
2022-12-05 00:00:00,7,9837,0.0007115990647555149
2022-12-06 00:00:00,17,10196,0.0016673205178501373
2022-12-07 00:00:00,24,11064,0.0021691973969631237
2022-12-08 00:00:00,30,10725,0.002797202797202797
2022-12-09 00:00:00,9,9269,0.0009709785305858237
2022-12-10 00:00:00,1,1545,0.0006472491909385113
2022-12-11 00:00:00,11,5156,0.002133436772692009
2022-12-12 00:00:00,5,9374,0.0005333902282910177
2022-12-13 00:00:00,5,10076,0.0004962286621675268
2022-12-14 00:00:00,11,8750,0.001257142857142857
2022-12-15 00:00:00,25,8692,0.0028762080073630927
2022-12-16 00:00:00,61,7958,0.007665242523247047
2022-12-17 00:00:00,4,4989,0.0008017638805371818
2022-12-18 00:00:00,10,4753,0.002103934357248054
2022-12-19 00:00:00,24,7972,0.0030105368790767687
2022-12-20 00:00:00,14,6868,0.0020384391380314504
2022-12-21 00:00:00,20,8134,0.0024588148512417014
2022-12-22 00:00:00,24,7669,0.003129482331464337
2022-12-23 00:00:00,5,8527,0.0005863726984871585
2022-12-24 00:00:00,4,4843,0.0008259343382201115
2022-12-25 00:00:00,3,739,0.0040595399188092015
2022-12-26 00:00:00,2,5288,0.00037821482602118004
2022-12-27 00:00:00,6,5834,0.0010284538909838875
2022-12-28 00:00:00,10,7538,0.0013266118333775537
2022-12-29 00:00:00,9,7669,0.0011735558742991263
2022-12-30 00:00:00,16,7868,0.0020335536349771225
2022-12-31 00:00:00,19,5320,0.0035714285714285713
2023-01-01 00:00:00,6,5150,0.0011650485436893205
2023-01-02 00:00:00,6,6445,0.0009309542280837859
2023-01-03 00:00:00,14,9129,0.0015335743235841822
2023-01-04 00:00:00,9,9949,0.0009046135289978892
2023-01-05 00:00:00,4,5360,0.0007462686567164179
2023-01-06 00:00:00,20,9652,0.0020721094073767096
2023-01-07 00:00:00,6,5513,0.0010883366588064574
2023-01-08 00:00:00,7,5752,0.0012169680111265646
2023-01-09 00:00:00,8,10417,0.0007679754247864068
2023-01-10 00:00:00,7,10897,0.0006423786363219235
2023-01-11 00:00:00,19,11123,0.0017081722556864156
2023-01-12 00:00:00,28,10520,0.002661596958174905
2023-01-13 00:00:00,20,10132,0.0019739439399921043
2023-01-14 00:00:00,7,6047,0.001157598809326939
2023-01-15 00:00:00,22,5681,0.0038725576483013553
2023-01-16 00:00:00,13,10053,0.0012931463244802547
2023-01-17 00:00:00,16,11144,0.0014357501794687725
2023-01-18 00:00:00,24,11754,0.002041858090862685
2023-01-19 00:00:00,20,12034,0.0016619577862722287
2023-01-20 00:00:00,17,10654,0.0015956448282335273
2023-01-21 00:00:00,16,6504,0.0024600246002460025
2023-01-22 00:00:00,15,5794,0.0025888850535036242
2023-01-23 00:00:00,16,10588,0.001511144692104269
2023-01-24 00:00:00,18,10279,0.0017511431073061582
2023-01-25 00:00:00,9,7624,0.001180482686253935
2023-01-26 00:00:00,7,10881,0.0006433232239683853
2023-01-27 00:00:00,6,10740,0.0005586592178770949
2023-01-28 00:00:00,9,5790,0.0015544041450777201
2023-01-29 00:00:00,9,5250,0.0017142857142857142
2023-01-30 00:00:00,15,10749,0.0013954786491766676
2023-01-31 00:00:00,9,11251,0.0007999288952093148
2023-02-01 00:00:00,11,11412,0.0009638976515948125
2023-02-02 00:00:00,17,10858,0.0015656658684840672
2023-02-03 00:00:00,17,10422,0.0016311648436000768
2023-02-04 00:00:00,6,5866,0.0010228435049437436
2023-02-05 00:00:00,11,5615,0.0019590382902938555
2023-02-06 00:00:00,10,10164,0.0009838646202282567
2023-02-07 00:00:00,9,9946,0.0009048863864870299
2023-02-08 00:00:00,6,11253,0.0005331911490269261
2023-02-09 00:00:00,38,11779,0.003226080312420409
2023-02-10 00:00:00,27,10335,0.0026124818577648768
2023-02-11 00:00:00,7,6160,0.0011363636363636363
2023-02-12 00:00:00,4,4631,0.0008637443316778234
2023-02-13 00:00:00,18,9874,0.0018229694146242657
2023-02-14 00:00:00,13,11294,0.0011510536568089251
2023-02-15 00:00:00,16,11329,0.0014123047047400476
2023-02-16 00:00:00,10,11206,0.000892379082634303
2023-02-17 00:00:00,2,4621,0.00043280675178532783
2023-02-18 00:00:00,6,5550,0.001081081081081081
2023-02-19 00:00:00,7,5592,0.001251788268955651
2023-02-20 00:00:00,16,10415,0.0015362457993278924
2023-02-21 00:00:00,15,11389,0.0013170603213627184
2023-02-22 00:00:00,14,11191,0.0012510052720936468
2023-02-23 00:00:00,5,11565,0.00043233895373973193
2023-02-24 00:00:00,7,10883,0.0006432049986217035
2023-02-25 00:00:00,2,4584,0.0004363001745200698
2023-02-26 00:00:00,6,5532,0.0010845986984815619
2023-02-27 00:00:00,20,10928,0.0018301610541727673
2023-02-28 00:00:00,21,11624,0.0018066070199587061
2023-03-01 00:00:00,9,11823,0.0007612281146917026
2023-03-02 00:00:00,11,11341,0.0009699321047526673
2023-03-03 00:00:00,21,11026,0.0019045891529113005
2023-03-04 00:00:00,4,6039,0.000662361318099023
2023-03-05 00:00:00,5,5874,0.0008512087163772557
2023-03-06 00:00:00,7,11146,0.000628027992104791
2023-03-07 00:00:00,8,11584,0.0006906077348066298
2023-03-08 00:00:00,19,11985,0.0015853149770546516
2023-03-09 00:00:00,18,12357,0.0014566642388929353
2023-03-10 00:00:00,17,11368,0.0014954257565095003
2023-03-11 00:00:00,8,6193,0.0012917810431131924
2023-03-12 00:00:00,7,5956,0.0011752854264607119
2023-03-13 00:00:00,3,11337,0.0002646202699126753
2023-03-14 00:00:00,9,11899,0.0007563660811832927
2023-03-15 00:00:00,16,11987,0.001334779344289647
2023-03-16 00:00:00,8,11943,0.000669848446788914
2023-03-17 00:00:00,14,10969,0.0012763241863433313
2023-03-18 00:00:00,2,6201,0.0003225286244154169
2023-03-19 00:00:00,4,5530,0.0007233273056057866
2023-03-20 00:00:00,12,9998,0.001200240048009602
2023-03-21 00:00:00,30,12111,0.0024770869457517958
2023-03-22 00:00:00,21,11657,0.001801492665351291
2023-03-23 00:00:00,11,11256,0.0009772565742714996
2023-03-24 00:00:00,19,10595,0.0017932987258140632
2023-03-25 00:00:00,28,5971,0.004689331770222743
2023-03-26 00:00:00,17,5566,0.0030542579949694574
2023-03-27 00:00:00,12,9541,0.0012577297977151242
2023-03-28 00:00:00,30,9961,0.0030117458086537496
2023-03-29 00:00:00,44,10766,0.0040869403678246334
2023-03-30 00:00:00,34,9678,0.0035131225459805746
2023-03-31 00:00:00,23,11436,0.0020111927247289264
2023-04-01 00:00:00,3,5890,0.0005093378607809847
2023-04-02 00:00:00,27,5612,0.00481111903064861
2023-04-03 00:00:00,16,10873,0.0014715349949415985
2023-04-04 00:00:00,11,10822,0.0010164479763444835
2023-04-05 00:00:00,14,11463,0.0012213207711768298
2023-04-06 00:00:00,9,10625,0.0008470588235294118
2023-04-07 00:00:00,8,7832,0.0010214504596527069
2023-04-08 00:00:00,4,5555,0.00072007200720072
2023-04-09 00:00:00,2,5240,0.0003816793893129771
2023-04-10 00:00:00,2,7322,0.0002731494127287626
2023-04-11 00:00:00,13,10579,0.0012288496077133945
2023-04-12 00:00:00,10,11339,0.0008819119851838787
2023-04-13 00:00:00,14,10263,0.0013641235506187276
2023-04-14 00:00:00,11,10504,0.0010472201066260471
2023-04-15 00:00:00,9,6118,0.0014710689767898006
2023-04-16 00:00:00,10,5407,0.0018494544109487702
2023-04-17 00:00:00,30,10920,0.0027472527472527475
2023-04-18 00:00:00,17,11615,0.0014636246233318984
2023-04-19 00:00:00,17,12254,0.00138730210543496
2023-04-20 00:00:00,22,11864,0.0018543492919757248
2023-04-21 00:00:00,36,10902,0.003302146395156852
2023-04-22 00:00:00,31,6180,0.005016181229773463
2023-04-23 00:00:00,18,5719,0.0031474033922014337
2023-04-24 00:00:00,26,10787,0.002410308704922592
2023-04-25 00:00:00,10,12040,0.0008305647840531562
2023-04-26 00:00:00,35,12031,0.0029091513589892776
2023-04-27 00:00:00,20,11325,0.0017660044150110375
2023-04-28 00:00:00,18,10623,0.0016944365998305564
2023-04-29 00:00:00,7,5666,0.0012354394634662902
2023-04-30 00:00:00,13,5057,0.002570694087403599
2023-05-01 00:00:00,26,6495,0.004003079291762895
2023-05-02 00:00:00,18,10141,0.0017749728823587417
2023-05-03 00:00:00,13,11515,0.0011289622231871472
2023-05-04 00:00:00,17,10600,0.0016037735849056603
2023-05-05 00:00:00,18,9234,0.001949317738791423
2023-05-06 00:00:00,4,7179,0.0005571806658308956
2023-05-07 00:00:00,12,6026,0.0019913707268503153
2023-05-08 00:00:00,11,7467,0.0014731485201553503
2023-05-09 00:00:00,18,10913,0.0016494089617886923
2023-05-10 00:00:00,45,11787,0.003817765334690761
2023-05-11 00:00:00,17,11331,0.0015003088871238196
2023-05-12 00:00:00,21,11062,0.001898390887723739
2023-05-13 00:00:00,10,6564,0.0015234613040828763
2023-05-14 00:00:00,24,5242,0.004578405188859214
2023-05-15 00:00:00,21,10834,0.0019383422558611777
2023-05-16 00:00:00,16,11640,0.0013745704467353953
2023-05-17 00:00:00,27,11844,0.0022796352583586625
2023-05-18 00:00:00,20,11425,0.00175054704595186
2023-05-19 00:00:00,24,10718,0.0022392237357715993
2023-05-20 00:00:00,11,5758,0.0019103855505383813
2023-05-21 00:00:00,31,5690,0.005448154657293498
2023-05-22 00:00:00,14,10587,0.001322376499480495
2023-05-23 00:00:00,26,11282,0.002304555929799681
2023-05-24 00:00:00,10,11822,0.000845880561664693
2023-05-25 00:00:00,34,11212,0.003032465215840171
2023-05-26 00:00:00,28,10454,0.002678400612205854
